time;open;high;low;close;Volume;Futures Open Interest;;;;
2010-04-16;3450;3488;3413.2;3431.2;48988;2702;;;;
2010-04-19;3396;3398;3166.2;3201.2;109733;3954;;;;
2010-04-20;3209.2;3240;3168.8;3216.6;141862;4496;;;;
2010-04-21;3215;3281.2;3208;3266;114531;5062;;;;
2010-04-22;3260.2;3274.4;3211;3240;133247;5383;;;;
2010-04-23;3241;3266;3221;3235.6;116981;5808;;;;
2010-04-26;3243;3252;3211.8;3224.8;112229;7079;;;;
2010-04-27;3201.2;3205;3107.6;3121.8;139961;7386;;;;
2010-04-28;3101.6;3142.6;3094.2;3132.8;128530;7092;;;;
2010-04-29;3141;3157.6;3082.2;3114.4;116254;8705;;;;
2010-04-30;3103;3119.6;3043;3089.8;184157;8297;;;;
2010-05-04;3079.8;3094.4;3060.8;3069.4;150123;8261;;;;
2010-05-05;3046.4;3087;3031;3078.6;145542;9600;;;;
2010-05-06;3078.6;3083.4;2953.6;2972.6;170221;10150;;;;
2010-05-07;2928;2959.8;2862.2;2896;240106;8282;;;;
2010-05-10;2910;2931;2870;2912;201919;9873;;;;
2010-05-11;2949;2957.8;2797.2;2816.4;224626;8987;;;;
2010-05-12;2809;2855;2782;2829.2;273131;8144;;;;
2010-05-13;2847.8;2915.6;2823;2902.8;217422;8276;;;;
2010-05-14;2880;2894.8;2850.4;2861.2;185453;6237;;;;
2010-05-17;2840;2840.2;2708;2727.6;117625;4126;;;;
2010-05-18;2717;2808;2703;2779.6;40298;1924;;;;
2010-05-19;2762.2;2808.8;2722.6;2767.2;14913;1159;;;;
2010-05-20;2801;2844.8;2742.2;2761.2;293133;14774;;;;
2010-05-21;2702;2802.8;2677;2789;307325;13329;;;;
2010-05-24;2814;2933.4;2808;2908.6;300512;15770;;;;
2010-05-25;2880;2889.2;2811;2833.6;288927;15644;;;;
2010-05-26;2846.2;2878.8;2817.6;2829;326246;15219;;;;
2010-05-27;2825;2909.8;2790;2896.4;325500;16397;;;;
2010-05-28;2930;2942;2853;2869.8;306690;16764;;;;
2010-05-31;2850;2898.8;2786.2;2811.8;337678;18662;;;;
2010-06-01;2780;2820.6;2732;2760.6;420130;17746;;;;
2010-06-02;2758;2781.4;2718.2;2762;343923;18691;;;;
2010-06-03;2799.8;2807;2741;2762.8;342961;18712;;;;
2010-06-04;2740;2767.8;2722.2;2755.6;324387;16354;;;;
2010-06-07;2700;2718;2680;2704.8;289681;15673;;;;
2010-06-08;2709.8;2726;2683;2699.4;225087;16526;;;;
2010-06-09;2720.4;2808;2700.4;2786;314559;16740;;;;
2010-06-10;2776;2791;2763;2772;232630;14040;;;;
2010-06-11;2788;2796.8;2765;2773;169575;10034;;;;
2010-06-17;2815;2816;2760;2776.4;157022;16693;;;;
2010-06-18;2762.4;2779;2705.8;2727.4;249981;19752;;;;
2010-06-21;2749.2;2816.6;2718;2809.2;277989;21545;;;;
2010-06-22;2795.6;2815;2793.2;2799.6;220831;19828;;;;
2010-06-23;2785;2801.6;2743;2761.6;238316;19132;;;;
2010-06-24;2771;2810;2750;2766.8;297949;18877;;;;
2010-06-25;2759;2772.8;2736;2752;249654;18599;;;;
2010-06-28;2751.6;2763.8;2731.4;2738.2;210541;20726;;;;
2010-06-29;2741.6;2746.8;2598.4;2610.4;298585;24070;;;;
2010-06-30;2580;2593;2563;2573.2;247753;21872;;;;
2010-07-01;2577.8;2584.6;2535.6;2546;243922;23657;;;;
2010-07-02;2550;2565;2478.8;2543.6;367858;24119;;;;
2010-07-05;2535;2549.6;2479.6;2531.4;359351;22692;;;;
2010-07-06;2521.4;2585;2511.2;2558.4;365680;22426;;;;
2010-07-07;2558;2582;2546.2;2564.8;318135;21290;;;;
2010-07-08;2591;2599.4;2562;2574.6;254951;21332;;;;
2010-07-09;2573.2;2668;2563;2652;327713;20855;;;;
2010-07-12;2652;2693;2647.2;2666.2;289268;19620;;;;
2010-07-13;2651;2653;2618.6;2632;269627;14223;;;;
2010-07-14;2640;2679.2;2630;2641.6;209930;10544;;;;
2010-07-15;2650;2738;2608;2627.4;392898;20498;;;;
2010-07-16;2613;2629.8;2588;2619.2;360667;20799;;;;
2010-07-19;2600.2;2715.2;2593.6;2691.4;379966;23283;;;;
2010-07-20;2702;2761;2700.4;2745.2;390979;22339;;;;
2010-07-21;2749;2758.4;2733.8;2744;308125;23282;;;;
2010-07-22;2740;2785.6;2736.2;2774.6;385991;24307;;;;
2010-07-23;2790;2800.8;2765.2;2782.2;326508;22706;;;;
2010-07-26;2792;2803.2;2769.2;2793.8;295351;24625;;;;
2010-07-27;2797.8;2799.8;2773.6;2782.8;298118;23121;;;;
2010-07-28;2780.2;2888.6;2775.2;2879.2;354307;26047;;;;
2010-07-29;2888;2896;2862.8;2878.6;274230;23700;;;;
2010-07-30;2873;2880.6;2855.2;2869.6;241645;22428;;;;
2010-08-02;2888.2;2950.8;2880.2;2928;288420;25621;;;;
2010-08-03;2928;2935;2849;2884;322000;22224;;;;
2010-08-04;2859.8;2892;2835;2872;382739;24218;;;;
2010-08-05;2872.8;2880.6;2821.8;2843.2;319116;21171;;;;
2010-08-06;2850;2923.6;2832;2913.8;322329;23732;;;;
2010-08-09;2917;2932;2891.4;2910.8;288638;21326;;;;
2010-08-10;2913.2;2920.6;2827.8;2842.8;324580;19506;;;;
2010-08-11;2839;2873;2825;2840;359463;18164;;;;
2010-08-12;2822;2868.8;2810;2822;337014;17863;;;;
2010-08-13;2826;2862.8;2810.2;2850.8;299186;17728;;;;
2010-08-16;2849;2943;2843.6;2933;269722;16892;;;;
2010-08-17;2933;2961.8;2928.8;2949.6;176759;10563;;;;
2010-08-18;2949.6;2968.2;2933;2947.8;54738;6117;;;;
2010-08-19;2965;3016;2952.2;2984.2;310102;28031;;;;
2010-08-20;2971.2;2979.6;2911;2921.4;320487;26394;;;;
2010-08-23;2920.6;2938;2896.4;2909.4;252178;27326;;;;
2010-08-24;2898.6;2958.8;2875.4;2922.8;340393;26470;;;;
2010-08-25;2911;2922;2852.8;2863.8;328356;26769;;;;
2010-08-26;2889.8;2894;2848;2858.4;273128;27851;;;;
2010-08-27;2862;2875;2848.2;2867.6;271393;25440;;;;
2010-08-30;2885;2948.8;2885;2928.8;258909;27880;;;;
2010-08-31;2918;2922;2903;2912.4;198508;26318;;;;
2010-09-01;2925;2956.2;2871.6;2882;310156;27086;;;;
2010-09-02;2920;2949.2;2912.2;2927.2;292539;25167;;;;
2010-09-03;2933;2939.6;2901.4;2924.6;265581;23587;;;;
2010-09-06;2948;2993.6;2948;2984.8;250197;26264;;;;
2010-09-07;2990;2998;2968.8;2988.2;206604;27242;;;;
2010-09-08;2987;2998.6;2972;2991;193194;26107;;;;
2010-09-09;3004;3006.8;2935.6;2945.8;244478;24059;;;;
2010-09-10;2955;2956;2914;2943.4;217296;24624;;;;
2010-09-13;2952;2983.8;2935.6;2968.4;206588;22149;;;;
2010-09-14;2969.8;2995;2956;2968.8;216894;16737;;;;
2010-09-15;2968.8;2972.6;2916.4;2928.4;171429;13494;;;;
2010-09-16;2935;2936;2846.8;2863.6;235869;21826;;;;
2010-09-17;2879.6;2889;2868;2875.6;212281;22675;;;;
2010-09-20;2881;2892;2848;2876.8;209602;23457;;;;
2010-09-21;2881;2886.8;2860.2;2874.2;163975;21201;;;;
2010-09-27;2882.2;2914.8;2879.8;2907.8;157948;21617;;;;
2010-09-28;2900;2905.4;2889.4;2892.8;120672;19058;;;;
2010-09-29;2893.4;2912;2881.4;2888.8;136850;18318;;;;
2010-09-30;2880;2955;2871.6;2938;189288;17389;;;;
2010-10-08;2972.6;3073.8;2966.4;3062.2;150243;19881;;;;
2010-10-11;3075;3162.4;3075;3133.8;208814;17039;;;;
2010-10-12;3124.4;3164.2;3123;3158.2;172451;15396;;;;
2010-10-13;3168;3208.8;3161;3194.2;182960;11797;;;;
2010-10-14;3242.4;3272;3233.2;3246;176158;18424;;;;
2010-10-15;3230;3394.8;3228;3364.4;263141;25734;;;;
2010-10-18;3390;3421.8;3324.2;3346.2;302110;25731;;;;
2010-10-19;3356.6;3434.4;3327.6;3404.6;308628;28270;;;;
2010-10-20;3392.6;3513.2;3377;3451;378770;28139;;;;
2010-10-21;3468.8;3492.8;3406.8;3447.8;325384;29059;;;;
2010-10-22;3455.6;3499;3426.8;3458.6;293741;29639;;;;
2010-10-25;3485;3608;3460;3581.2;256963;30526;;;;
2010-10-26;3608.2;3618;3521;3562.8;235559;29142;;;;
2010-10-27;3562.8;3606.2;3473.4;3508.4;303622;30275;;;;
2010-10-28;3496;3537.8;3486.2;3512.4;248247;30001;;;;
2010-10-29;3492.4;3498;3401.6;3435;266654;26397;;;;
2010-11-01;3449.8;3576;3443.2;3562.2;227693;29004;;;;
2010-11-02;3559.4;3587.8;3498.2;3518.8;260699;27851;;;;
2010-11-03;3533;3534.4;3451;3475.6;286579;26533;;;;
2010-11-04;3487.6;3538;3472.6;3516.6;236016;26412;;;;
2010-11-05;3569;3630;3563.4;3577;202498;23710;;;;
2010-11-08;3595;3595.8;3557;3573.6;141259;22742;;;;
2010-11-09;3581.6;3581.6;3528.2;3541.4;137677;19264;;;;
2010-11-10;3542;3542;3489;3516.8;132284;18520;;;;
2010-11-11;3520.8;3588.8;3491.4;3546.4;119295;14596;;;;
2010-11-12;3488;3506;3253.6;3311.4;84398;7888;;;;
2010-11-15;3300;3326;3261.2;3298.2;40184;6246;;;;
2010-11-16;3300.4;3311.4;3158;3181.2;31373;4070;;;;
2010-11-17;3158.8;3182.8;3093.6;3118.6;23723;3456;;;;
2010-11-18;3181.2;3214.6;3155.6;3195.8;236016;29185;;;;
2010-11-19;3210;3252.2;3083.4;3211.8;317329;26630;;;;
2010-11-22;3219.8;3238.6;3165;3181.4;248086;24897;;;;
