time;open;high;low;close;Volume;Futures Open Interest;;;;
2015-01-05;3619;3768.8;3585.2;3718.6;1303810;138633;;;;
2015-01-06;3664;3707.8;3610;3659.4;1522728;127237;;;;
2015-01-07;3655.8;3684.2;3615.4;3654.8;1294935;114534;;;;
2015-01-08;3676.6;3679.6;3553;3588.2;1565105;105242;;;;
2015-01-09;3570;3718;3511;3596.2;1713171;88364;;;;
2015-01-12;3567;3575;3463.6;3533.8;1268691;81457;;;;
2015-01-13;3535.8;3568.8;3501.2;3517.4;1104965;77162;;;;
2015-01-14;3536;3563.4;3471.6;3497.8;1026731;63228;;;;
2015-01-15;3548.6;3686.4;3534.2;3650.2;808954;101476;;;;
2015-01-16;3686.8;3714;3661.8;3684.6;1188668;114442;;;;
2015-01-19;3519.8;3519.8;3316.2;3321.8;1063324;117624;;;;
2015-01-20;3303;3448.8;3300;3404.4;1734080;105907;;;;
2015-01-21;3405;3581.8;3405;3554;1459796;112574;;;;
2015-01-22;3555;3595;3524.2;3574;1192074;108107;;;;
2015-01-23;3579.6;3649;3551.6;3578.6;1448937;103279;;;;
2015-01-26;3605;3635.2;3571.4;3620.6;1064911;107650;;;;
2015-01-27;3639.4;3643;3508.2;3585;1322288;108253;;;;
2015-01-28;3567.2;3603.6;3511;3534.4;1367393;108348;;;;
2015-01-29;3478;3516.6;3450.8;3492.6;1232704;102412;;;;
2015-01-30;3506.4;3532.8;3420;3457;1374952;104079;;;;
2015-02-02;3357;3427;3353;3373.2;1094811;110408;;;;
2015-02-03;3400;3467.2;3380.6;3448.4;1224371;115571;;;;
2015-02-04;3472;3508.6;3383;3425.6;1228877;117899;;;;
2015-02-05;3499.8;3537;3345.6;3399.8;1513768;112731;;;;
2015-02-06;3361.4;3390.4;3287.2;3321.6;1318691;102940;;;;
2015-02-09;3329.2;3400.2;3315.6;3364.4;1240607;97718;;;;
2015-02-10;3375.6;3440.4;3354;3413.8;1263639;95890;;;;
2015-02-11;3443.6;3469.6;3433;3449.6;1011176;90564;;;;
2015-02-12;3449.6;3470;3419;3461.6;817005;79157;;;;
2015-02-13;3462.8;3531.2;3457.6;3482.6;870585;63779;;;;
