time;open;high;low;close;;;;;;
2015-01-05;3.65700006;3.66000009;3.64700007;3.64700007;;;;;;
2015-01-06;3.66000009;3.66300011;3.6500001;3.65400004;;;;;;
2015-01-07;3.6730001;3.6730001;3.65499997;3.65799999;;;;;;
2015-01-08;3.67000008;3.67600012;3.66300011;3.66300011;;;;;;
2015-01-09;3.66499996;3.67000008;3.66100001;3.66100001;;;;;;
2015-01-12;3.70000005;3.70000005;3.64499998;3.65899992;;;;;;
2015-01-13;3.66100001;3.66199994;3.64299989;3.65499997;;;;;;
2015-01-14;3.65300012;3.65300012;3.58500004;3.5940001;;;;;;
2015-01-15;3.5999999;3.5999999;3.56699991;3.56999993;;;;;;
2015-01-16;3.56699991;3.58299994;3.55699992;3.56299996;;;;;;
2015-01-19;3.54999995;3.54999995;3.47799993;3.523;;;;;;
2015-01-20;3.52200007;3.52200007;3.49799991;3.5;;;;;;
2015-01-21;3.49099994;3.5;3.48699999;3.49099994;;;;;;
2015-01-22;3.50099993;3.50099993;3.48000002;3.48399997;;;;;;
2015-01-23;3.48300004;3.49300003;3.46000004;3.47199988;;;;;;
2015-01-26;3.47000003;3.5;3.44799995;3.46799994;;;;;;
2015-01-27;3.46199989;3.477;3.44799995;3.46199989;;;;;;
2015-01-28;3.47300005;3.48300004;3.46300006;3.47000003;;;;;;
2015-01-29;3.48300004;3.51399994;3.47000003;3.5;;;;;;
2015-01-30;3.52399993;3.5250001;3.50699997;3.51399994;;;;;;
2015-02-02;3.52999997;3.53999996;3.50099993;3.50099993;;;;;;
2015-02-03;3.51999998;3.51999998;3.48300004;3.4849999;;;;;;
2015-02-04;3.50300002;3.50300002;3.47000003;3.4749999;;;;;;
2015-02-05;3.48000002;3.48000002;3.44799995;3.47099996;;;;;;
2015-02-06;3.48300004;3.48300004;3.43899989;3.44099998;;;;;;
2015-02-09;3.47000003;3.47000003;3.42000008;3.454;;;;;;
2015-02-10;3.46499991;3.46499991;3.43899989;3.44099998;;;;;;
2015-02-11;3.45000005;3.45300007;3.42700005;3.43700004;;;;;;
2015-02-12;3.44300008;3.44300008;3.40799999;3.40899992;;;;;;
2015-02-13;3.41400003;3.41599989;3.40100002;3.40300012;;;;;;
2015-02-16;3.3900001;3.3900001;3.37800002;3.37800002;;;;;;
2015-02-17;3.38700008;3.38700008;3.35800004;3.35800004;;;;;;
2015-02-25;3.36999989;3.36999989;3.33500004;3.35100007;;;;;;
2015-02-26;3.37700009;3.37700009;3.35500002;3.3599999;;;;;;
2015-02-27;3.36999989;3.39100003;3.36999989;3.375;;;;;;
2015-03-02;3.4000001;3.40499997;3.33999991;3.38199997;;;;;;
2015-03-03;3.39599991;3.4289999;3.39599991;3.41000009;;;;;;
2015-03-04;3.4289999;3.44400001;3.41700006;3.43499994;;;;;;
2015-03-05;3.44499993;3.46300006;3.44499993;3.45600009;;;;;;
2015-03-06;3.46499991;3.50999999;3.46499991;3.48399997;;;;;;
2015-03-09;3.52999997;3.52999997;3.4849999;3.48799992;;;;;;
2015-03-10;3.49699998;3.5250001;3.49699998;3.51699996;;;;;;
2015-03-11;3.51799989;3.52999997;3.51300001;3.52600002;;;;;;
2015-03-12;3.53500009;3.53500009;3.46000004;3.46700001;;;;;;
2015-03-13;3.5;3.5;3.46300006;3.47099996;;;;;;
2015-03-16;3.54999995;3.54999995;3.49000001;3.50399995;;;;;;
2015-03-17;3.54299998;3.56299996;3.53299999;3.53399992;;;;;;
2015-03-18;3.55800009;3.55999994;3.53999996;3.55699992;;;;;;
2015-03-19;3.57299995;3.57299995;3.55599999;3.56200004;;;;;;
2015-03-20;3.57299995;3.57299995;3.53600001;3.546;;;;;;
2015-03-23;3.54999995;3.55999994;3.50300002;3.52200007;;;;;;
2015-03-24;3.55500007;3.55500007;3.51200008;3.51799989;;;;;;
2015-03-25;3.55200005;3.55200005;3.49799991;3.50999999;;;;;;
2015-03-26;3.52999997;3.5480001;3.51799989;3.53200006;;;;;;
2015-03-27;3.56800008;3.58299994;3.55500007;3.56200004;;;;;;
2015-03-30;3.6500001;3.6500001;3.58800006;3.59599996;;;;;;
2015-03-31;3.62199998;3.63700008;3.61299992;3.62299991;;;;;;
2015-04-01;3.61999989;3.66899991;3.61999989;3.66199994;;;;;;
2015-04-02;3.6730001;3.6730001;3.6170001;3.62299991;;;;;;
2015-04-03;3.625;3.625;3.5710001;3.5769999;;;;;;
2015-04-07;3.6500001;3.6500001;3.56999993;3.60100007;;;;;;
2015-04-08;3.61999989;3.65499997;3.6099999;3.62599993;;;;;;
2015-04-09;3.61999989;3.71300006;3.61999989;3.70499992;;;;;;
2015-04-10;3.73799992;3.73799992;3.72099996;3.72099996;;;;;;
2015-04-13;3.73000002;3.75;3.70499992;3.70600009;;;;;;
2015-04-14;3.72000003;3.72000003;3.67700005;3.68600011;;;;;;
2015-04-15;3.68799996;3.68799996;3.63700008;3.65700006;;;;;;
2015-04-16;3.6730001;3.6730001;3.61400008;3.61400008;;;;;;
2015-04-17;3.63700008;3.63700008;3.58100009;3.58200002;;;;;;
2015-04-20;3.54999995;3.579;3.53999996;3.579;;;;;;
2015-04-21;3.5769999;3.5769999;3.46300006;3.48399997;;;;;;
2015-04-22;3.49499989;3.49499989;3.43499994;3.43899989;;;;;;
2015-04-23;3.46799994;3.47000003;3.44199991;3.44400001;;;;;;
2015-04-24;3.46799994;3.48300004;3.45600009;3.45600009;;;;;;
2015-04-27;3.54999995;3.54999995;3.46000004;3.46300006;;;;;;
2015-04-28;3.47000003;3.47000003;3.42700005;3.43300009;;;;;;
2015-04-29;3.45799994;3.45799994;3.41599989;3.41799998;;;;;;
2015-04-30;3.44499993;3.44499993;3.41300011;3.42199993;;;;;;
2015-05-04;3.43000007;3.43000007;3.38499999;3.39199996;;;;;;
2015-05-05;3.40300012;3.42700005;3.3900001;3.40799999;;;;;;
2015-05-06;3.43799996;3.45300007;3.421;3.42799997;;;;;;
2015-05-07;3.45799994;3.49300003;3.44499993;3.46700001;;;;;;
2015-05-08;3.49000001;3.49000001;3.43300009;3.45099998;;;;;;
2015-05-11;3.4000001;3.454;3.4000001;3.4230001;;;;;;
2015-05-12;3.43499994;3.44700003;3.41499996;3.41599989;;;;;;
2015-05-13;3.43000007;3.43700004;3.42700005;3.43099999;;;;;;
2015-05-14;3.43499994;3.43700004;3.4230001;3.43400002;;;;;;
2015-05-15;3.44000006;3.44300008;3.41400003;3.41400003;;;;;;
2015-05-18;3.44000006;3.44499993;3.41300011;3.4230001;;;;;;
2015-05-19;3.43499994;3.44899988;3.42700005;3.4460001;;;;;;
2015-05-20;3.45799994;3.46300006;3.44499993;3.46300006;;;;;;
2015-05-21;3.4749999;3.4749999;3.45000005;3.46000004;;;;;;
