time;open;high;low;close;Volume;Futures Open Interest;;;;
2015-01-02;2592.5;2604.75;2576.25;2583.75;1358348;2746750;;;;
2015-01-05;2583.25;2585.75;2547;2553.5;2033774;2735166;;;;
2015-01-06;2556.5;2561;2521.75;2532;2345361;2738793;;;;
2015-01-07;2534;2561.25;2533.25;2557;1760658;2719370;;;;
2015-01-08;2558;2596;2557.75;2592.5;1555733;2717604;;;;
2015-01-09;2591.25;2599.5;2568.75;2572.75;1907571;2678435;;;;
2015-01-12;2572;2585.75;2552.75;2560;1622204;2677998;;;;
2015-01-13;2561.25;2589.25;2538.5;2553.5;2496445;2702231;;;;
2015-01-14;2554.75;2557;2518.75;2545;2516599;2701273;;;;
2015-01-15;2547.25;2564.75;2515.75;2526.5;2259660;2742502;;;;
2015-01-16;2518.25;2551.75;2507.75;2550.5;2017979;2687724;;;;
2015-01-20;2551;2564;2535;2554.25;1807759;2693173;;;;
2015-01-21;2553.25;2570.25;2542.75;2564;1639269;2688767;;;;
2015-01-22;2564.25;2596.75;2556.75;2594;1834361;2701326;;;;
2015-01-23;2594;2600;2579.75;2581.5;1353089;2690889;;;;
2015-01-26;2572.5;2592.5;2563;2591;1264468;2696298;;;;
2015-01-27;2591.5;2592.25;2550.75;2567.5;1957000;2684751;;;;
2015-01-28;2574;2584;2528.75;2529;2087277;2743997;;;;
2015-01-29;2531;2557.5;2519.5;2556;2124643;2721183;;;;
2015-01-30;2556.75;2558;2523.75;2526;2353992;2740382;;;;
2015-02-02;2528;2556;2511.25;2554.5;2038824;2710794;;;;
2015-02-03;2552.5;2581.5;2544.5;2579.5;1705780;2714102;;;;
2015-02-04;2578;2586.75;2560.25;2567.5;1696963;2728704;;;;
2015-02-05;2562.5;2596.25;2558.25;2592.5;1343547;2724108;;;;
2015-02-06;2593.75;2605.5;2582;2590.5;1722475;2775438;;;;
2015-02-09;2587.5;2589.25;2574;2580;1289419;2762422;;;;
2015-02-10;2581.25;2604;2578;2599.75;1397704;2766377;;;;
2015-02-11;2600.25;2617;2590.75;2603.25;1295469;2749732;;;;
2015-02-12;2609;2623;2596;2621.5;1433910;2777622;;;;
2015-02-13;2620.5;2632.5;2619;2631;1224925;2776438;;;;
2015-02-17;2628.75;2636.25;2618.25;2633.5;1234818;2780511;;;;
2015-02-18;2634;2636;2626;2633;1088179;2782675;;;;
2015-02-19;2632.75;2637;2624.75;2632.75;1143901;2806657;;;;
2015-02-20;2633.5;2646.25;2619.75;2644.5;1645222;2826009;;;;
2015-02-23;2644.75;2645.75;2637.25;2644.25;849695;2835551;;;;
2015-02-24;2643.75;2653.25;2640.25;2651.25;1080747;2836074;;;;
2015-02-25;2651.25;2655.25;2644.75;2647.75;974711;2861642;;;;
2015-02-26;2648;2652.25;2639;2647.5;1176136;2866192;;;;
2015-02-27;2647;2648.5;2638.25;2640.25;1207187;2866335;;;;
2015-03-02;2641.5;2653;2638;2651.5;1075660;2871121;;;;
2015-03-03;2651.5;2652;2633;2642.25;1360995;2893603;;;;
2015-03-04;2642.25;2642.25;2622.75;2634;1490440;2910503;;;;
2015-03-05;2634;2641;2630.75;2637.25;1097593;2917569;;;;
2015-03-06;2637;2641;2603;2608.25;1901150;2987199;;;;
2015-03-09;2611;2620;2603.5;2615.25;1189658;2947997;;;;
2015-03-10;2615;2615.5;2578.75;2579.5;1903455;2942523;;;;
2015-03-11;2581.75;2589.75;2575.75;2577;1707510;2807778;;;;
2015-03-12;2579.5;2604;2575.75;2601.5;1628622;2435127;;;;
2015-03-13;2601.75;2606.25;2577.5;2587.25;1209436;2057039;;;;
2015-03-16;2588.25;2619.25;2582;2614;946436;1578827;;;;
2015-03-17;2612;2616;2601.75;2611.75;1791792;2362080;;;;
2015-03-18;2611.75;2645.25;2597.75;2638;2013069;2586701;;;;
2015-03-19;2639;2644.5;2622;2627;1496920;2638127;;;;
2015-03-20;2625;2652.25;2623.25;2644.75;1417654;2608347;;;;
2015-03-23;2643.25;2652.5;2638.75;2640.25;957576;2607995;;;;
2015-03-24;2639.5;2646.5;2628.5;2630.5;1193863;2625047;;;;
2015-03-25;2630.75;2634.75;2597.75;2599.25;1777447;2620588;;;;
2015-03-26;2601.5;2604.25;2578.75;2594;1842218;2639622;;;;
2015-03-27;2595.5;2603.25;2586.5;2598;1158856;2640559;;;;
2015-03-30;2598.25;2627.25;2592.75;2621;1236364;2632578;;;;
2015-03-31;2620.25;2622.25;2601.75;2606.25;1596352;2655571;;;;
2015-04-01;2603.5;2606.25;2579;2598.5;1818878;2672112;;;;
2015-04-02;2600.75;2610.25;2589.5;2605;1047174;2645132;;;;
2015-04-03;2605.5;2609.25;2583.5;2605;95921;2650208;;;;
2015-04-06;2585;2625.5;2584.25;2618.75;948447;2654748;;;;
2015-04-07;2617;2628.25;2611.5;2613.25;1048474;2651631;;;;
2015-04-08;2614;2625.75;2610;2621.5;1217049;2644161;;;;
2015-04-09;2623.25;2632.5;2612.25;2631.25;1211778;2645082;;;;
2015-04-10;2631.5;2641.75;2628.5;2641;880529;2651679;;;;
2015-04-13;2640.75;2646.75;2630.75;2632;1080267;2650088;;;;
2015-04-14;2632.5;2638.25;2621.25;2636.5;1267366;2664126;;;;
2015-04-15;2637.25;2651;2632.75;2645.25;1045308;2666373;;;;
2015-04-16;2647;2650.25;2634.5;2646.25;1113607;2689405;;;;
2015-04-17;2646.75;2647.25;2610;2621;1822841;2702824;;;;
2015-04-20;2626.5;2643;2624;2636.5;1119881;2688683;;;;
2015-04-21;2635;2650.75;2632.75;2636.5;1052404;2683708;;;;
2015-04-22;2637.5;2649.25;2625.75;2645.75;1188586;2689547;;;;
2015-04-23;2644.75;2660;2633;2652.5;1362552;2713112;;;;
2015-04-24;2653;2660.25;2648.5;2657.25;958312;2711119;;;;
2015-04-27;2658.75;2665.25;2645.75;2650.25;1210483;2688678;;;;
2015-04-28;2649.25;2658;2633.75;2657.5;1476513;2706583;;;;
2015-04-29;2656.25;2658;2636;2644.5;1739720;2720143;;;;
2015-04-30;2643.75;2647.5;2615.75;2624.5;2026329;2765711;;;;
2015-05-01;2628.25;2648;2626;2647;1022085;2734463;;;;
2015-05-04;2647.25;2660.5;2643.5;2654.75;1000837;2721947;;;;
2015-05-05;2655;2657.25;2627;2629.5;1590274;2703366;;;;
2015-05-06;2631;2639.25;2606.75;2619.75;1756254;2729348;;;;
2015-05-07;2620.25;2633.75;2602.5;2629.75;1437746;2713209;;;;
