time;open;high;low;close;Volume;Futures Open Interest;;;;
2015-01-02;2055;2067.25;2038.75;2046.25;1358348;2746750;;;;
2015-01-05;2045.75;2048.25;2009.5;2016;2033774;2735166;;;;
2015-01-06;2019;2023.5;1984.25;1994.5;2345361;2738793;;;;
2015-01-07;1996.5;2023.75;1995.75;2019.5;1760658;2719370;;;;
2015-01-08;2020.5;2058.5;2020.25;2055;1555733;2717604;;;;
2015-01-09;2053.75;2062;2031.25;2035.25;1907571;2678435;;;;
2015-01-12;2034.5;2048.25;2015.25;2022.5;1622204;2677998;;;;
2015-01-13;2023.75;2051.75;2001;2016;2496445;2702231;;;;
2015-01-14;2017.25;2019.5;1981.25;2007.5;2516599;2701273;;;;
2015-01-15;2009.75;2027.25;1978.25;1989;2259660;2742502;;;;
2015-01-16;1980.75;2014.25;1970.25;2013;2017979;2687724;;;;
2015-01-20;2013.5;2026.5;1997.5;2016.75;1807759;2693173;;;;
2015-01-21;2015.75;2032.75;2005.25;2026.5;1639269;2688767;;;;
2015-01-22;2026.75;2059.25;2019.25;2056.5;1834361;2701326;;;;
2015-01-23;2056.5;2062.5;2042.25;2044;1353089;2690889;;;;
2015-01-26;2035;2055;2025.5;2053.5;1264468;2696298;;;;
2015-01-27;2054;2054.75;2013.25;2030;1957000;2684751;;;;
2015-01-28;2036.5;2046.5;1991.25;1991.5;2087277;2743997;;;;
2015-01-29;1993.5;2020;1982;2018.5;2124643;2721183;;;;
2015-01-30;2019.25;2020.5;1986.25;1988.5;2353992;2740382;;;;
2015-02-02;1990.5;2018.5;1973.75;2017;2038824;2710794;;;;
2015-02-03;2015;2044;2007;2042;1705780;2714102;;;;
2015-02-04;2040.5;2049.25;2022.75;2030;1696963;2728704;;;;
2015-02-05;2025;2058.75;2020.75;2055;1343547;2724108;;;;
2015-02-06;2056.25;2068;2044.5;2053;1722475;2775438;;;;
2015-02-09;2050;2051.75;2036.5;2042.5;1289419;2762422;;;;
2015-02-10;2043.75;2066.5;2040.5;2062.25;1397704;2766377;;;;
2015-02-11;2062.75;2079.5;2053.25;2065.75;1295469;2749732;;;;
